City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Soddy-Daisy,US,2022-10-10 17:05:46,35.2359,-85.1908,68.95,45,0,1.99
274,Saldanha,ZA,2022-10-10 17:09:05,-33.0117,17.9442,76.06,39,84,2.57
275,Aasiaat,GL,2022-10-10 17:09:05,68.7098,-52.8699,26.04,63,100,9.15
276,Champerico,GT,2022-10-10 17:09:06,14.3,-91.9167,77.54,90,100,3.51
277,Dingle,PH,2022-10-10 17:09:07,10.9995,122.6711,75.74,90,86,2.53
278,San Cristobal,VE,2022-10-10 17:06:47,7.7669,-72.225,80.78,48,88,7.74
279,Mana,GF,2022-10-10 17:09:08,5.6592,-53.7767,86.13,65,29,12.35
280,Simao,CN,2022-10-10 17:09:08,22.7886,100.9748,62.33,85,100,2.17
281,Tuatapere,NZ,2022-10-10 17:09:09,-46.1333,167.6833,47.64,91,100,9.13
282,Sao Joao Dos Patos,BR,2022-10-10 17:09:10,-6.495,-43.7022,95.99,24,91,8.68
283,Palmer,US,2022-10-10 17:09:10,42.1584,-72.3287,65.52,52,75,6.91
284,Garowe,SO,2022-10-10 17:09:11,8.4054,48.4845,86.05,42,95,15.57
285,Mahibadhoo,MV,2022-10-10 17:09:12,3.7833,72.9667,82.31,76,59,18.3
286,Ayan,RU,2022-10-10 17:09:12,56.45,138.1667,37.11,62,95,7.74
287,Mnogovershinnyy,RU,2022-10-10 17:09:13,53.9353,139.9242,28.99,84,13,1.41
288,Mount Gambier,AU,2022-10-10 17:09:14,-37.8333,140.7667,55.85,56,100,11.61
289,Nyurba,RU,2022-10-10 17:09:14,63.2842,118.3319,26.89,95,100,0.67
290,Kuusamo,FI,2022-10-10 17:09:15,65.9667,29.1833,42.84,100,100,8.05
291,Broome,US,2022-10-10 17:09:16,42.2506,-75.833,62.02,66,0,3.44
